ESNERR_StCode,Region,Date,AvgOfTime,AvgOfDD_LAT,AvgOfDD_LONG,Temp C,Sal (PSU),AvgOfpH,DO SAT %,DO mg/L,Turb (NTU),Chl (ug/L),Floating Algae % Cover,Ammonia as N mg/L,Umol Ammonia,Nitrate as N (mg/L),Umol Nitrate,Nitrite as N (mg/L),MLML Nitrate mg/L,MCCL Phosphate (mg/L),Umol Phosphate,total Nitrogen,Free Ammonia (mg/L),Lab Chl a (ug/L)
RSM,Reserve,11/20/1989,0.56,36.824,-121.74,16.30,22.50,7.62,,8.75,4.50,,,0.08,5.50,0.01,0.99,0.00,,0.02,0.60,,0.00,0.00
BSE,Lower Slough,12/17/1989,0.59,36.8215,-121.7834,10.20,21.00,7.49,,14.40,5.00,,,0.02,1.67,0.02,1.21,0.00,,0.07,2.12,,0.00,0.00
BSW,Lower Slough,12/17/1989,0.58,36.8209,-121.7909,12.10,21.10,6.84,,10.40,3.50,,,0.11,7.63,0.05,3.72,0.00,,0.05,1.69,,0.00,0.00
CC,Upper Slough,12/17/1989,0.52,36.8601,-121.7401,10.50,18.10,6.08,,13.40,35.00,,,1.33,95.00,0.16,11.14,0.00,,0.04,1.42,,0.00,0.00
HLE,Upper Slough,12/17/1989,0.50,36.8563,-121.7549,9.00,22.10,6.60,,7.50,11.00,,,0.28,20.00,0.14,9.76,0.00,,0.05,1.64,,0.00,0.00
HLW,Upper Slough,12/17/1989,0.51,36.8565,-121.755,9.50,22.10,7.37,,9.00,5.00,,,0.13,9.17,0.25,17.68,0.00,,0.05,1.46,,0.00,0.00
JR,Lower Slough,12/17/1989,0.60,36.8171,-121.7871,13.00,20.90,7.65,,9.40,4.00,,,0.08,5.67,0.03,2.45,0.00,,0.03,0.94,,0.00,0.00
KP,Upper Slough,12/17/1989,0.49,36.8398,-121.7437,11.80,22.00,6.91,,10.20,4.40,,,0.07,5.10,0.03,2.09,0.00,,0.02,0.74,,0.00,0.00
MCS,Lower Slough,12/17/1989,0.68,36.7963,-121.7832,12.00,20.00,7.90,,12.60,4.00,,,0.08,5.42,0.08,5.95,0.00,,0.05,1.51,,0.00,0.00
PRN,Tembladero Slough,12/17/1989,0.63,36.7908,-121.7904,12.80,19.70,7.47,,9.50,3.50,,,0.07,5.10,0.75,53.34,0.00,,0.07,2.24,,0.00,0.00
