ESNERR_StCode,Region,Date,AvgOfTime,AvgOfDD_LAT,AvgOfDD_LONG,Temp C,Sal (PSU),AvgOfpH,DO SAT %,DO mg/L,Turb (NTU),Chl (ug/L),Floating Algae % Cover,Ammonia as N mg/L,Umol Ammonia,Nitrate as N (mg/L),Umol Nitrate,Nitrite as N (mg/L),MLML Nitrate mg/L,MCCL Phosphate (mg/L),Umol Phosphate,total Nitrogen,Free Ammonia (mg/L),Lab Chl a (ug/L)
BSE,Lower Slough,8/29/1995,0.47,36.8215,-121.7834,,36.21,,,,2.90,,,0.03,1.79,0.11,8.07,0.00,,0.18,5.81,,,0.00
BSW,Lower Slough,8/29/1995,0.47,36.8209,-121.7909,,33.23,,,,3.00,,,0.06,4.29,0.11,8.07,0.00,,0.11,3.55,,,0.00
CC,Upper Slough,8/29/1995,0.44,36.8601,-121.7401,,34.72,,,,10.00,,,0.03,1.79,0.11,8.07,0.00,,0.17,5.49,,,0.00
HLE,Upper Slough,8/29/1995,0.43,36.8563,-121.7549,,38.25,,,,1.30,,,0.03,1.79,0.11,8.07,0.00,,0.32,10.33,,,0.00
HLW,Upper Slough,8/29/1995,0.43,36.8565,-121.755,,37.27,,,,1.30,,,0.03,1.79,0.11,8.07,0.00,,0.30,9.69,,,0.00
JR,Lower Slough,8/29/1995,0.48,36.8171,-121.7871,,32.20,,,,1.70,,,0.03,1.79,0.11,8.07,0.00,,0.07,2.26,,,0.00
KP,Upper Slough,8/29/1995,0.40,36.8398,-121.7437,,35.02,,,,1.30,,,0.05,3.57,0.11,8.07,0.00,,0.16,5.17,,,0.00
MCS,Lower Slough,8/29/1995,0.61,36.7963,-121.7832,,34.35,,,,2.50,,,0.03,1.79,0.11,8.07,0.00,,0.02,0.48,,,0.00
MDW,Tembladero Slough,8/29/1995,0.50,36.7719,-121.7897,,6.10,,,,4.60,,,0.47,33.57,55.14,"3,938.86",0.00,,0.52,16.79,,,0.00
MLN,Lower Slough,8/29/1995,0.62,36.8,-121.7844,,31.68,,,,1.00,,,0.08,5.71,1.81,129.14,0.00,,0.06,1.94,,,0.00
MLS,Lower Slough,8/29/1995,0.62,36.7997,-121.7847,,32.94,,,,0.90,,,0.07,5.00,0.45,32.29,0.00,,0.07,2.26,,,0.00
PRN,Tembladero Slough,8/29/1995,0.63,36.7908,-121.7904,,30.58,,,,3.40,,,0.12,8.57,2.71,193.71,0.00,,0.09,2.91,,,0.00
PRS,Tembladero Slough,8/29/1995,0.63,36.7904,-121.7907,,2.89,,,,40.00,,,0.03,1.79,40.91,"2,921.86",0.00,,0.07,2.26,,,0.00
RBR,Reserve,8/29/1995,0.38,36.8199,-121.7371,,33.97,,,,2.50,,,0.11,7.86,0.11,8.07,0.00,,0.10,3.23,,,0.00
RNM,Reserve,8/29/1995,0.39,36.8364,-121.7323,,40.45,,,,9.30,,,0.44,31.43,0.11,8.07,0.00,,0.17,5.49,,,0.00
RSM,Reserve,8/29/1995,0.38,36.824,-121.74,,34.57,,,,0.90,,,0.03,1.79,0.11,8.07,0.00,,0.13,4.20,,,0.00
SKL,Lower Slough,8/29/1995,0.48,36.8106,-121.7864,,32.57,,,,1.40,,,0.09,6.43,0.11,8.07,0.00,,0.05,1.61,,,0.00
SP,Lower Slough,8/29/1995,0.45,36.8247,-121.7774,,40.38,,,,4.40,,,0.03,1.79,0.11,8.07,0.00,,0.43,13.88,,,0.00
SRB,Salinas River,8/29/1995,0.52,36.7321,-121.7807,,27.68,,,,4.30,,,0.09,6.43,3.84,274.43,0.00,,0.02,0.48,,,0.00
SRL,Salinas River,8/29/1995,0.51,36.748,-121.7835,,34.35,,,,4.50,,,0.13,9.29,1.81,129.14,0.00,,0.04,1.29,,,0.00
TS,Tembladero Slough,8/29/1995,0.62,36.7651,-121.7596,,1.28,,,,17.00,,,0.03,1.79,1.58,113.00,0.00,,0.16,5.17,,,0.00
APC,Upper Slough,9/25/1995,0.44,36.8439,-121.7513,20.70,77.08,8.48,,8.40,90.30,,,0.13,9.29,0.23,16.14,0.00,,0.77,24.86,,0.01,0.00
APN,Upper Slough,9/25/1995,0.43,36.8471,-121.7545,17.80,34.94,7.99,,4.40,13.70,,,0.06,4.29,0.11,8.07,0.00,,0.10,3.23,,0.00,0.00
APS,Upper Slough,9/25/1995,0.45,36.8423,-121.7469,18.90,57.54,8.69,,14.10,123.60,,,0.03,1.79,0.11,8.07,0.00,,1.68,54.24,,0.00,0.00
BSE,Lower Slough,9/25/1995,0.53,36.8215,-121.7834,18.70,33.67,8.51,,11.90,13.90,,,0.03,1.79,0.11,8.07,0.00,,0.07,2.26,,0.00,0.00
BSW,Lower Slough,9/25/1995,0.52,36.8209,-121.7909,17.90,33.52,8.32,,8.20,28.60,,,0.03,1.79,0.11,8.07,0.00,,0.09,2.91,,0.00,0.00
CC,Upper Slough,9/25/1995,0.49,36.8601,-121.7401,18.60,39.72,8.10,,2.40,45.80,,,0.20,14.29,0.23,16.14,0.00,,0.08,2.58,,0.01,0.00
HLE,Upper Slough,9/25/1995,0.47,36.8563,-121.7549,19.10,36.30,8.27,,4.50,17.70,,,0.05,3.57,0.23,16.14,0.00,,0.15,4.84,,0.00,0.00
HLW,Upper Slough,9/25/1995,0.47,36.8565,-121.755,19.30,36.45,8.23,,4.40,15.20,,,0.05,3.57,0.23,16.14,0.00,,0.13,4.20,,0.00,0.00
JR,Lower Slough,9/25/1995,0.54,36.8171,-121.7871,17.30,33.45,8.40,,9.00,10.00,,,0.03,1.79,0.11,8.07,0.00,,0.04,1.29,,0.00,0.00
KP,Upper Slough,9/25/1995,0.42,36.8398,-121.7437,17.90,33.89,8.16,,6.70,26.10,,,0.07,5.00,0.23,16.14,0.00,,0.06,1.94,,0.00,0.00
MCS,Lower Slough,9/25/1995,0.59,36.7963,-121.7832,21.60,37.36,9.22,,10.50,30.30,,,0.03,1.79,0.23,16.14,0.00,,0.15,4.84,,0.01,0.00
MDW,Tembladero Slough,9/25/1995,0.57,36.7719,-121.7897,15.50,14.32,8.21,,1.40,37.10,,,0.33,23.57,24.63,"1,759.57",0.00,,0.62,20.02,,0.01,0.00
MLN,Lower Slough,9/25/1995,0.64,36.8,-121.7844,18.00,32.85,8.37,,8.80,26.70,,,0.08,5.71,1.13,80.71,0.00,,0.06,1.94,,0.01,0.00
MLS,Lower Slough,9/25/1995,0.65,36.7997,-121.7847,17.50,33.15,8.39,,8.20,23.60,,,0.08,5.71,0.68,48.43,0.00,,0.07,2.26,,0.01,0.00
PRN,Tembladero Slough,9/25/1995,0.66,36.7908,-121.7904,17.30,31.96,8.31,,7.10,74.40,,,0.11,7.86,1.81,129.14,0.00,,0.12,3.87,,0.01,0.00
PRS,Tembladero Slough,9/25/1995,0.67,36.7904,-121.7907,22.40,4.18,9.55,,7.60,127.70,,,0.03,1.79,30.74,"2,195.43",0.00,,0.02,0.48,,0.02,0.00
RBR,Reserve,9/25/1995,0.39,36.8199,-121.7371,17.80,33.74,8.06,,5.90,15.80,,,0.08,5.71,0.23,16.14,0.00,,0.06,1.94,,0.00,0.00
RNM,Reserve,9/25/1995,0.41,36.8364,-121.7323,17.20,40.33,8.02,,4.70,12.80,,,0.08,5.71,0.23,16.14,0.00,,0.13,4.20,,0.00,0.00
RSM,Reserve,9/25/1995,0.40,36.824,-121.74,18.50,31.74,8.31,,4.80,3.40,,,0.06,4.29,0.23,16.14,0.00,,0.10,3.23,,0.00,0.00
SKL,Lower Slough,9/25/1995,0.55,36.8106,-121.7864,16.20,33.22,8.41,,10.80,16.10,,,0.06,4.29,0.45,32.29,0.00,,0.04,1.29,,0.00,0.00
SP,Lower Slough,9/25/1995,0.51,36.8247,-121.7774,20.50,42.18,8.67,,12.00,30.90,,,0.25,17.86,0.23,16.14,0.00,,0.69,22.28,,0.04,0.00
SRB,Salinas River,9/25/1995,0.60,36.7321,-121.7807,19.40,20.39,9.23,,,49.90,,,0.30,21.43,1.58,113.00,0.00,,0.08,2.58,,0.12,0.00
SRL,Salinas River,9/25/1995,0.58,36.748,-121.7835,17.10,31.67,8.57,,12.60,52.80,,,0.03,1.79,1.58,113.00,0.00,,0.02,0.48,,0.00,0.00
TS,Tembladero Slough,9/25/1995,0.62,36.7651,-121.7596,18.90,0.97,8.68,,13.80,70.90,,,0.03,1.79,38.65,"2,760.43",0.00,,0.82,26.47,,0.00,0.00
APC,Upper Slough,10/24/1995,0.50,36.8439,-121.7513,19.10,88.61,8.69,,,105.30,,,0.46,32.86,0.11,8.07,0.00,,0.41,13.24,,0.07,0.00
APN,Upper Slough,10/24/1995,0.49,36.8471,-121.7545,15.40,32.78,8.55,,,24.30,,,0.09,6.43,0.11,8.07,0.00,,0.08,2.58,,0.01,0.00
APS,Upper Slough,10/24/1995,0.52,36.8423,-121.7469,16.10,43.35,8.93,,,55.40,,,0.22,15.71,0.11,8.07,0.00,,0.27,8.72,,0.04,0.00
BSE,Lower Slough,10/24/1995,0.54,36.8215,-121.7834,15.80,34.19,8.60,,,13.10,,,0.12,8.57,0.11,8.07,0.00,,0.11,3.55,,0.01,0.00
BSW,Lower Slough,10/24/1995,0.53,36.8209,-121.7909,15.40,33.89,8.52,,,24.80,,,0.14,10.00,0.11,8.07,0.00,,0.10,3.23,,0.01,0.00
JR,Lower Slough,10/24/1995,0.62,36.8171,-121.7871,,33.49,,,,,,,0.09,6.43,0.11,8.07,0.00,,0.08,2.58,,,0.00
KP,Upper Slough,10/24/1995,0.48,36.8398,-121.7437,14.20,33.82,8.55,,,9.60,,,0.08,5.71,0.11,8.07,0.00,,0.04,1.29,,0.01,0.00
MCS,Lower Slough,10/24/1995,0.61,36.7963,-121.7832,,36.66,,,,,,,0.06,4.29,2.26,161.43,0.00,,0.18,5.81,,,0.00
MDW,Tembladero Slough,10/24/1995,0.57,36.7719,-121.7897,,17.69,,,,,,,1.29,92.14,7.46,532.71,0.00,,0.66,21.31,,,0.00
MLN,Lower Slough,10/24/1995,0.63,36.8,-121.7844,,32.49,,,,,,,0.09,6.43,0.90,64.57,0.00,,0.09,2.91,,,0.00
MLS,Lower Slough,10/24/1995,0.64,36.7997,-121.7847,,34.35,,,,,,,0.06,4.29,0.23,16.14,0.00,,0.10,3.23,,,0.00
PRN,Tembladero Slough,10/24/1995,0.75,36.7908,-121.7904,,9.45,,,,,,,0.09,6.43,2.71,193.71,0.00,,0.85,27.44,,,0.00
PRS,Tembladero Slough,10/24/1995,0.75,36.7904,-121.7907,,6.66,,,,,,,0.08,5.71,21.47,"1,533.57",0.00,,0.89,28.73,,,0.00
RBR,Reserve,10/24/1995,0.42,36.8199,-121.7371,14.60,33.89,8.25,,,8.40,,,0.11,7.86,0.23,16.14,0.00,,0.07,2.26,,0.00,0.00
RNM,Reserve,10/24/1995,0.45,36.8364,-121.7323,14.60,40.18,8.63,,,40.20,,,0.20,14.29,0.11,8.07,0.00,,0.14,4.52,,0.02,0.00
RSM,Reserve,10/24/1995,0.42,36.824,-121.74,14.20,34.27,8.13,,,5.10,,,0.06,4.29,0.11,8.07,0.00,,0.09,2.91,,0.00,0.00
SKL,Lower Slough,10/24/1995,0.63,36.8106,-121.7864,,33.34,,,,,,,0.07,5.00,0.23,16.14,0.00,,0.05,1.61,,,0.00
SRB,Salinas River,10/24/1995,0.60,36.7321,-121.7807,,18.31,,,,,,,0.46,32.86,1.58,113.00,0.00,,0.16,5.17,,,0.00
SRL,Salinas River,10/24/1995,0.58,36.748,-121.7835,,26.60,,,,,,,0.16,11.43,1.13,80.71,0.00,,0.09,2.91,,,0.00
TS,Tembladero Slough,10/24/1995,0.61,36.7651,-121.7596,,1.45,,,,,,,1.65,117.86,36.61,"2,615.14",0.00,,0.96,30.99,,,0.00
APC,Upper Slough,11/28/1995,0.56,36.8439,-121.7513,20.70,46.93,8.69,,20.39,88.60,,,0.03,1.79,0.11,8.07,0.00,,0.28,9.04,,0.00,0.00
APN,Upper Slough,11/28/1995,0.55,36.8471,-121.7545,17.20,33.84,7.98,,19.31,0.10,,,0.07,5.00,0.23,16.14,0.00,,0.05,1.61,,0.00,0.00
APS,Upper Slough,11/28/1995,0.57,36.8423,-121.7469,17.30,45.30,8.14,,,0.10,,,0.11,7.86,0.11,8.07,0.00,,0.52,16.79,,0.00,0.00
BSE,Lower Slough,11/28/1995,0.41,36.8215,-121.7834,12.80,33.83,7.83,,13.19,26.00,,,0.07,5.00,0.11,8.07,0.00,,0.05,1.61,,0.00,0.00
BSW,Lower Slough,11/28/1995,0.38,36.8209,-121.7909,11.00,33.89,7.42,,13.28,8.70,,,0.03,1.79,0.11,8.07,0.00,,0.12,3.87,,0.00,0.00
JR,Lower Slough,11/28/1995,0.43,36.8171,-121.7871,12.80,34.59,7.83,,14.54,26.00,,,0.07,5.00,0.11,8.07,0.00,,0.07,2.26,,0.00,0.00
KP,Upper Slough,11/28/1995,0.50,36.8398,-121.7437,13.30,33.80,7.90,,16.92,4.30,,,0.06,4.29,0.11,8.07,0.00,,0.10,3.23,,0.00,0.00
MCS,Lower Slough,11/28/1995,0.67,36.7963,-121.7832,15.80,33.89,8.23,,,4.80,,,0.03,1.79,0.11,8.07,0.00,,0.09,2.91,,0.00,0.00
MDW,Tembladero Slough,11/28/1995,0.61,36.7719,-121.7897,14.30,14.96,8.25,,,82.30,,,0.27,19.29,2.94,209.86,0.00,,0.46,14.85,,0.01,0.00
MLN,Lower Slough,11/28/1995,0.59,36.8,-121.7844,14.70,32.85,7.80,,15.20,6.00,,,0.09,6.43,0.45,32.29,0.00,,0.08,2.58,,0.00,0.00
MLS,Lower Slough,11/28/1995,0.60,36.7997,-121.7847,14.80,33.52,8.03,,18.50,40.10,,,0.10,7.14,0.23,16.14,0.00,,0.08,2.58,,0.00,0.00
PRN,Tembladero Slough,11/28/1995,0.67,36.7908,-121.7904,13.80,26.98,7.94,,17.05,9.20,,,0.16,11.43,0.90,64.57,0.00,,0.31,10.01,,0.00,0.00
PRS,Tembladero Slough,11/28/1995,0.68,36.7904,-121.7907,14.60,30.83,7.87,,17.27,25.30,,,0.11,7.86,1.58,113.00,0.00,,0.21,6.78,,0.00,0.00
RBR,Reserve,11/28/1995,0.46,36.8199,-121.7371,12.80,33.46,7.80,,15.50,5.50,,,0.09,6.43,0.11,8.07,0.00,,0.05,1.61,,0.00,0.00
RNM,Reserve,11/28/1995,0.49,36.8364,-121.7323,15.40,36.89,7.39,,9.64,77.10,,,0.43,30.71,0.11,8.07,0.00,,0.26,8.39,,0.00,0.00
RSM,Reserve,11/28/1995,0.47,36.824,-121.74,,33.75,,,,,,,0.03,1.79,0.11,8.07,0.00,,0.05,1.61,,,0.00
SKL,Lower Slough,11/28/1995,0.43,36.8106,-121.7864,13.10,33.52,7.85,,18.04,13.70,,,0.05,3.57,0.45,32.29,0.00,,0.04,1.29,,0.00,0.00
SP,Lower Slough,11/28/1995,0.34,36.8247,-121.7774,10.20,44.40,8.08,,15.60,106.80,,,0.03,1.79,0.11,8.07,0.00,,0.44,14.21,,0.00,0.00
SRB,Salinas River,11/28/1995,0.65,36.7321,-121.7807,14.60,21.16,7.43,,10.20,9.10,,,0.27,19.29,1.36,96.86,0.00,,0.11,3.55,,0.00,0.00
SRL,Salinas River,11/28/1995,0.63,36.748,-121.7835,15.00,28.45,7.76,,13.47,12.50,,,0.11,7.86,0.90,64.57,0.00,,0.09,2.91,,0.00,0.00
TS,Tembladero Slough,11/28/1995,0.66,36.7651,-121.7596,12.80,1.15,8.11,,20.54,54.20,,,0.95,67.86,31.19,"2,227.71",0.00,,1.18,38.10,,0.03,0.00
APC,Upper Slough,12/19/1995,0.42,36.8439,-121.7513,10.30,16.37,8.50,,13.83,40.20,,,2.09,149.29,2.03,145.29,0.00,,0.02,0.48,,0.12,0.00
APN,Upper Slough,12/19/1995,0.41,36.8471,-121.7545,10.90,32.27,7.74,,8.15,22.80,,,0.18,12.86,0.45,32.29,0.00,,0.05,1.61,,0.00,0.00
APS,Upper Slough,12/19/1995,0.42,36.8423,-121.7469,14.60,37.39,7.03,,1.06,98.70,,,1.04,74.29,0.68,48.43,0.00,,0.55,17.76,,0.00,0.00
BSE,Lower Slough,12/19/1995,0.48,36.8215,-121.7834,10.80,30.26,8.26,,11.56,25.70,,,0.19,13.57,0.11,8.07,0.00,,0.07,2.26,,0.01,0.00
BSW,Lower Slough,12/19/1995,0.48,36.8209,-121.7909,11.10,33.97,7.70,,8.00,13.60,,,0.24,17.14,0.23,16.14,0.00,,0.14,4.52,,0.00,0.00
CC,Upper Slough,12/19/1995,0.45,36.8601,-121.7401,10.90,28.80,6.37,,1.59,231.00,,,0.03,1.79,0.90,64.57,0.00,,0.03,0.97,,0.00,0.00
HLE,Upper Slough,12/19/1995,0.43,36.8563,-121.7549,9.80,11.18,7.30,,7.94,0.00,,,3.43,245.00,23.96,"1,711.14",0.00,,0.09,2.91,,0.01,0.00
HLW,Upper Slough,12/19/1995,0.44,36.8565,-121.755,11.00,29.90,7.64,,7.87,18.70,,,0.58,41.43,0.90,64.57,0.00,,0.09,2.91,,0.01,0.00
JR,Lower Slough,12/19/1995,0.49,36.8171,-121.7871,12.40,34.56,8.06,,9.64,17.10,,,0.03,1.79,0.23,16.14,0.00,,0.08,2.58,,0.00,0.00
KP,Upper Slough,12/19/1995,0.39,36.8398,-121.7437,12.00,33.76,7.86,,8.28,12.80,,,0.16,11.43,0.23,16.14,0.00,,0.04,1.29,,0.00,0.00
MCS,Lower Slough,12/19/1995,0.68,36.7963,-121.7832,12.10,26.34,8.03,,11.94,28.30,,,0.06,4.29,1.58,113.00,0.00,,0.47,15.17,,0.00,0.00
MDW,Tembladero Slough,12/19/1995,0.53,36.7719,-121.7897,10.10,15.00,7.97,,13.64,47.70,,,0.41,29.29,17.18,"1,226.86",0.00,,0.65,20.99,,0.01,0.00
MLN,Lower Slough,12/19/1995,0.65,36.8,-121.7844,12.40,29.90,8.19,,11.03,24.10,,,0.05,3.57,0.45,32.29,0.00,,0.27,8.72,,0.00,0.00
MLS,Lower Slough,12/19/1995,0.65,36.7997,-121.7847,12.30,27.86,8.32,,13.60,66.30,,,0.03,1.79,1.36,96.86,0.00,,0.38,12.27,,0.00,0.00
PRN,Tembladero Slough,12/19/1995,0.66,36.7908,-121.7904,11.50,3.91,8.14,,12.01,68.10,,,0.03,1.79,11.07,791.00,0.00,,0.61,19.69,,0.00,0.00
PRS,Tembladero Slough,12/19/1995,0.67,36.7904,-121.7907,11.50,1.89,8.26,,11.63,0.00,,,0.10,7.14,13.79,984.71,0.00,,0.57,18.40,,0.00,0.00
RBR,Reserve,12/19/1995,0.36,36.8199,-121.7371,11.00,33.01,7.52,,7.30,10.30,,,0.19,13.57,0.45,32.29,0.00,,0.05,1.61,,0.00,0.00
RNM,Reserve,12/19/1995,0.38,36.8364,-121.7323,10.10,28.96,6.96,,3.73,111.20,,,1.82,130.00,0.11,8.07,0.00,,0.02,0.48,,0.00,0.00
RSM,Reserve,12/19/1995,0.37,36.824,-121.74,10.20,32.55,7.85,,8.67,7.20,,,0.11,7.86,0.11,8.07,0.00,,0.06,1.94,,0.00,0.00
SKL,Lower Slough,12/19/1995,0.50,36.8106,-121.7864,13.00,34.87,8.07,,9.44,77.80,,,0.03,1.79,0.23,16.14,0.00,,0.02,0.48,,0.00,0.00
SP,Lower Slough,12/19/1995,0.47,36.8247,-121.7774,14.60,37.39,7.03,,1.56,98.70,,,2.22,158.57,3.16,226.00,0.00,,0.71,22.92,,0.01,0.00
SRB,Salinas River,12/19/1995,0.55,36.7321,-121.7807,10.90,12.72,7.77,,9.40,20.00,,,0.03,1.79,2.03,145.29,0.00,,0.18,5.81,,0.00,0.00
SRL,Salinas River,12/19/1995,0.56,36.748,-121.7835,10.60,10.08,7.92,,10.22,18.40,,,0.13,9.29,1.81,129.14,0.00,,0.15,4.84,,0.00,0.00
TS,Tembladero Slough,12/19/1995,0.69,36.7651,-121.7596,10.00,0.94,8.32,,11.80,88.90,,,0.03,1.79,17.63,"1,259.14",0.00,,0.50,16.14,,0.00,0.00
APC,Upper Slough,1/30/1996,0.43,36.8439,-121.7513,10.50,20.85,8.43,,11.65,1.30,,,0.03,1.79,0.11,8.07,0.00,,0.02,0.48,,0.00,0.00
APN,Upper Slough,1/30/1996,0.42,36.8471,-121.7545,10.70,30.80,7.99,,9.14,1.90,,,0.07,5.00,0.45,32.29,0.00,,0.04,1.29,,0.00,0.00
APS,Upper Slough,1/30/1996,0.44,36.8423,-121.7469,11.60,6.76,8.21,,12.13,2.60,,,0.03,1.79,0.45,32.29,0.00,,0.11,3.55,,0.00,0.00
BSE,Lower Slough,1/30/1996,0.52,36.8215,-121.7834,12.00,30.16,8.82,,13.34,2.70,,,0.03,1.79,0.11,8.07,0.00,,0.02,0.48,,0.00,0.00
BSW,Lower Slough,1/30/1996,0.51,36.8209,-121.7909,12.30,30.63,8.38,,11.84,1.80,,,0.09,6.43,0.45,32.29,0.00,,0.10,3.23,,0.00,0.00
CC,Upper Slough,1/30/1996,0.47,36.8601,-121.7401,10.80,1.19,7.41,,7.30,0.10,,,0.87,62.14,1.58,113.00,0.00,,0.02,0.48,,0.00,0.00
HLE,Upper Slough,1/30/1996,0.45,36.8563,-121.7549,10.60,3.31,8.06,,10.80,0.10,,,0.53,37.86,13.56,968.57,0.00,,0.02,0.48,,0.01,0.00
HLW,Upper Slough,1/30/1996,0.46,36.8565,-121.755,12.00,29.24,8.18,,8.71,3.80,,,0.13,9.29,1.13,80.71,0.00,,0.04,1.29,,0.00,0.00
JR,Lower Slough,1/30/1996,0.53,36.8171,-121.7871,12.10,31.07,8.48,,10.12,4.50,,,0.06,4.29,0.45,32.29,0.00,,0.09,2.91,,0.00,0.00
KP,Upper Slough,1/30/1996,0.40,36.8398,-121.7437,10.80,30.15,8.21,,9.52,4.30,,,0.11,7.86,0.90,64.57,0.00,,0.06,1.94,,0.00,0.00
MCS,Lower Slough,1/30/1996,0.65,36.7963,-121.7832,11.80,18.18,8.69,,10.25,0.10,,,0.10,7.14,1.58,113.00,0.00,,0.25,8.07,,0.01,0.00
MDW,Tembladero Slough,1/30/1996,0.56,36.7719,-121.7897,12.10,16.58,8.74,,16.24,0.10,,,0.11,7.86,9.27,661.86,0.00,,0.22,7.10,,0.01,0.00
MLN,Lower Slough,1/30/1996,0.67,36.8,-121.7844,11.90,21.65,8.60,,12.35,2.70,,,0.03,1.79,1.36,96.86,0.00,,0.18,5.81,,0.00,0.00
MLS,Lower Slough,1/30/1996,0.67,36.7997,-121.7847,11.80,18.80,8.17,,11.90,2.30,,,0.03,1.79,1.58,113.00,0.00,,0.20,6.46,,0.00,0.00
PRN,Tembladero Slough,1/30/1996,0.68,36.7908,-121.7904,11.00,4.03,8.11,,8.17,0.00,,,1.02,72.86,11.53,823.29,0.00,,0.57,18.40,,0.03,0.00
PRS,Tembladero Slough,1/30/1996,0.69,36.7904,-121.7907,11.10,3.91,8.09,,8.12,0.00,,,1.05,75.00,11.30,807.14,0.00,,0.58,18.73,,0.03,0.00
RBR,Reserve,1/30/1996,0.36,36.8199,-121.7371,10.80,32.12,8.16,,9.77,2.60,,,0.06,4.29,0.45,32.29,0.00,,0.07,2.26,,0.00,0.00
RNM,Reserve,1/30/1996,0.39,36.8364,-121.7323,10.50,30.08,7.69,,6.86,1.50,,,0.36,25.71,0.23,16.14,0.00,,0.02,0.48,,0.00,0.00
RSM,Reserve,1/30/1996,0.38,36.824,-121.74,11.00,32.15,8.38,,10.11,4.90,,,0.08,5.71,0.23,16.14,0.00,,0.04,1.29,,0.00,0.00
SKL,Lower Slough,1/30/1996,0.54,36.8106,-121.7864,12.30,32.11,8.39,,9.48,4.90,,,0.10,7.14,0.45,32.29,0.00,,0.07,2.26,,0.01,0.00
SP,Lower Slough,1/30/1996,0.50,36.8247,-121.7774,14.30,19.08,8.29,,5.22,3.30,,,1.60,114.29,0.68,48.43,0.00,,0.46,14.85,,0.08,0.00
SRB,Salinas River,1/30/1996,0.59,36.7321,-121.7807,12.00,17.59,9.04,,14.80,1.60,,,0.08,5.71,2.03,145.29,0.00,,0.06,1.94,,0.02,0.00
SRL,Salinas River,1/30/1996,0.58,36.748,-121.7835,11.10,19.11,9.25,,16.61,0.90,,,0.03,1.79,1.58,113.00,0.00,,0.02,0.48,,0.01,0.00
TS,Tembladero Slough,1/30/1996,0.60,36.7651,-121.7596,10.90,0.67,8.40,,9.61,0.00,,,0.31,22.14,12.88,920.14,0.00,,1.77,57.14,,0.01,0.00
APC,Upper Slough,2/29/1996,0.44,36.8439,-121.7513,11.50,1.25,8.35,,7.47,258.00,,,0.39,27.86,1.58,113.00,0.00,,0.11,3.55,,0.02,0.00
APN,Upper Slough,2/29/1996,0.43,36.8471,-121.7545,12.50,22.64,8.57,,9.67,0.00,,,0.25,17.86,1.58,113.00,0.00,,0.25,8.07,,0.02,0.00
APS,Upper Slough,2/29/1996,0.46,36.8423,-121.7469,12.70,12.00,7.36,,5.30,177.00,,,0.17,12.14,0.45,32.29,0.00,,0.14,4.52,,0.00,0.00
BSE,Lower Slough,2/29/1996,0.65,36.8215,-121.7834,11.70,10.04,9.21,,12.26,30.00,,,0.49,35.00,1.36,96.86,0.00,,0.80,25.83,,0.13,0.00
BSW,Lower Slough,2/29/1996,0.64,36.8209,-121.7909,12.30,9.46,8.96,,10.13,79.00,,,0.33,23.57,1.81,129.14,0.00,,0.85,27.44,,0.06,0.00
CC,Upper Slough,2/29/1996,0.68,36.8601,-121.7401,12.40,0.40,8.54,,8.24,62.00,,,0.13,9.29,1.81,129.14,0.00,,0.45,14.53,,0.01,0.00
HLE,Upper Slough,2/29/1996,0.69,36.8563,-121.7549,13.10,0.80,8.74,,9.58,73.00,,,0.19,13.57,5.65,403.57,0.00,,0.17,5.49,,0.02,0.00
HLW,Upper Slough,2/29/1996,0.69,36.8565,-121.755,13.00,0.81,8.80,,9.58,68.00,,,0.44,31.43,5.20,371.29,0.00,,0.16,5.17,,0.06,0.00
JR,Lower Slough,2/29/1996,0.65,36.8171,-121.7871,11.70,10.04,9.04,,11.34,0.00,,,0.50,35.71,3.62,258.29,0.00,,0.55,17.76,,0.09,0.00
KP,Upper Slough,2/29/1996,0.70,36.8398,-121.7437,12.00,9.68,8.70,,9.27,0.00,,,0.37,26.43,3.16,226.00,0.00,,0.57,18.40,,0.04,0.00
MCS,Lower Slough,2/29/1996,0.53,36.7963,-121.7832,10.90,1.19,8.36,,9.35,79.00,,,3.31,236.43,1.58,113.00,0.00,,1.22,39.39,,0.14,0.00
MDW,Tembladero Slough,2/29/1996,0.46,36.7719,-121.7897,10.70,0.87,7.87,,7.63,58.00,,,0.38,27.14,18.98,"1,356.00",0.00,,0.99,31.96,,0.01,0.00
MLN,Lower Slough,2/29/1996,0.54,36.8,-121.7844,11.70,14.05,8.41,,8.70,63.00,,,1.04,74.29,1.81,129.14,0.00,,0.47,15.17,,0.05,0.00
MLS,Lower Slough,2/29/1996,0.55,36.7997,-121.7847,11.00,2.25,8.66,,9.00,81.00,,,2.71,193.57,3.16,226.00,0.00,,0.86,27.77,,0.23,0.00
PRN,Tembladero Slough,2/29/1996,0.59,36.7908,-121.7904,11.50,1.11,8.64,,8.20,99.00,,,0.30,21.43,21.70,"1,549.71",0.00,,0.59,19.05,,0.03,0.00
PRS,Tembladero Slough,2/29/1996,0.59,36.7904,-121.7907,11.60,0.88,8.69,,8.24,52.00,,,0.22,15.71,18.98,"1,356.00",0.00,,0.56,18.08,,0.02,0.00
RBR,Reserve,2/29/1996,0.39,36.8199,-121.7371,11.50,24.68,8.73,,9.25,0.00,,,0.20,14.29,1.81,129.14,0.00,,0.11,3.55,,0.02,0.00
